,final,open,max,min,trade_amt,change,year,month,day,name
1491,0.11080284003656746,0.13160409796270744,0.1996020849420032,0.11574971034020291,1.5350844682843585,0.16366041817983346,2021,6,28,002475
1492,0.13630336344342098,0.10499467026598469,0.10540711306506866,0.14791210373261932,-0.15161974790252977,0.12236990963967467,2021,6,29,002475
1493,-0.044628921681396434,0.10741370914750532,0.019558531101279395,0.01926253016295636,0.6793952513328333,-1.0147071716970057,2021,6,30,002475
1494,-0.06891513444982862,0.032423503820376585,-0.07702112360798215,-0.0017667270551618517,-0.5713977852018548,-0.1539588782829264,2021,7,1,002475
1495,-0.3360634749025783,-0.11392834851159951,-0.22010209354763005,-0.245458707759235,0.433602082544909,-1.541955203825187,2021,7,2,002475
1496,-0.07862961955720114,-0.2796325118957373,-0.1867165338950455,-0.18360795123535853,-0.05355554928701271,1.5262472000050733,2021,7,5,002475
1497,-0.11748755998669212,-0.03168102653991056,-0.13783053583233298,-0.1242312249724375,-0.40152528630981416,-0.23971608832787153,2021,7,6,002475
1498,-0.12720204509406463,-0.1707757622273256,-0.127099463086859,-0.10567599801527475,-0.3455337922616,-0.07455405416723644,2021,7,7,002475
1499,0.03551558045442821,-0.09941411522247738,-0.011442345718977343,0.01555148477152363,0.42253031818509257,0.9227705367258294,2021,7,8,002475
1500,-0.011842534444013076,-0.03772862374371087,-0.01621171138363216,-0.08712077105811199,0.051468044068959794,-0.28418278983265793,2021,7,9,002475
1501,-0.10534445360247603,0.022747348294295734,-0.0615206851978542,-0.04506225662187556,0.2463310968017286,-0.544630612932121,2021,7,12,002475
1502,-0.40163624937734416,-0.15989008726048398,-0.2773344815234887,-0.30359841889167966,1.231718124825389,-1.7198220098443326,2021,7,13,002475
1503,-0.393136074908393,-0.38727974212338917,-0.37987584331356944,-0.3060724491526342,-0.5312230973819495,0.03343650663010191,2021,7,14,002475
1504,-0.498781100451072,-0.3134990562370212,-0.4216077928793001,-0.45698829507089267,0.0214161122351724,-0.6589735596587146,2021,7,15,002475
1505,-0.6202121642932312,-0.4997650501140814,-0.5408419344956731,-0.5138909910728591,-0.43347523489099893,-0.7701403134206806,2021,7,16,002475
1506,-0.4489943642757863,-0.5941075664933718,-0.5539576900734741,-0.5324462180300219,-0.2446225685249876,1.068875413098699,2021,7,19,002475
1507,-0.3822072791625991,-0.5094412056401623,-0.4776478394389953,-0.4161667957651344,-0.6118888091463262,0.39234631163302053,2021,7,20,002475
1508,-0.5242816238579255,-0.38727974212338917,-0.4061073544691722,-0.4186408260260898,0.47377677036481425,-0.8781308742180188,2021,7,21,002475
1509,-0.6165692323779662,-0.5215364000477638,-0.5730351527320942,-0.6079041409891511,0.977700216798744,-0.5922735074015351,2021,7,22,002475
1510,-0.7185713260053795,-0.6291836302754156,-0.6874999286838124,-0.6511996705558648,0.1397258228229249,-0.6621497526233421,2021,7,23,002475
1511,-0.798715828141205,-0.6969167189579832,-0.744732316659671,-0.7761381987340951,-0.09025053973669024,-0.5351020340382382,2021,7,26,002475
1512,-0.9395758621981093,-0.7610212493182695,-0.7936183147223844,-0.8379889552579716,0.366222488012312,-0.9448309264751984,2021,7,27,002475
1513,-1.0537210622097395,-0.969058593129013,-1.0392406464521122,-1.0767328754401355,-0.11872079094764672,-0.7891974712084462,2021,7,28,002475
1514,-0.9832910451812865,-0.960591957043692,-1.0070474282156918,-0.9295280749133089,-0.35565654824771814,0.4717511357487105,2021,7,29,002475
1515,-1.1399371175376727,-1.0234869679632184,-1.1250892284159006,-1.1460057227468765,0.31655771645542125,-1.0877596098834403,2021,7,30,002475
1516,-0.9845053558197088,-1.2097529618402787,-1.0225478666258199,-1.2078564792707531,0.8606558507092562,1.0815801849572093,2021,8,2,002475
1517,-0.8849318834691382,-0.9811537875366136,-0.8901979694316459,-0.9270540446523544,0.22482024033122813,0.6623227136263664,2021,8,3,002475
1518,-0.5862114664174265,-0.8468971296122391,-0.638613930621099,-0.7835602895169606,1.3949475651015395,1.9804427939468199,2021,8,4,002475
1519,-0.599568883440064,-0.5699171776781689,-0.580189201229076,-0.5423423390738428,0.13814414220009397,-0.09996359788425724,2021,8,5,002475
1520,-0.6942851132369482,-0.6086217997824931,-0.7196931469202326,-0.6289333982072693,-0.5761428270703475,-0.6145068581539281,2021,8,6,002475
1521,-0.5084955855584445,-0.7610212493182695,-0.5933049568068769,-0.6870731093397131,0.18306387188849196,1.1768659738960372,2021,8,9,002475
1522,-0.5522107685416218,-0.5251649583700443,-0.5980743224715326,-0.5299721877690673,-0.5574789957209427,-0.2873589827972855,2021,8,10,002475
1523,-0.5534250791800431,-0.5154888028439635,-0.6159594437139884,-0.5002838246376063,-1.0734232148883873,-0.023734966733194862,2021,8,11,002475
1524,-0.510924206835288,-0.5481458277444865,-0.5503806658249828,-0.47554352202805544,-0.27783786160443685,0.24941762822477861,2021,8,12,002475
1525,-0.8533598068701762,-0.48525081682496013,-0.5789968598129125,-0.8021155164741233,1.2136869657251166,-2.142255674139803,2021,8,13,002475
1526,-0.9395758621981093,-0.8602018434606005,-0.911660114922593,-0.8491220914322697,-0.6023987254093407,-0.5890973144369075,2021,8,16,002475
1527,-1.0427922664639449,-0.9351920487877292,-0.9820082584762535,-0.9802456952628881,-0.9032343798717809,-0.7161450330220114,2021,8,17,002475
1528,-0.9881482877349737,-1.0162298513186583,-1.0511640606137496,-0.9666385288276353,-1.3964023980704603,0.36058438198674453,2021,8,18,002475
1529,-1.0525067515713173,-1.0053441763518167,-1.0034704039672007,-0.9530313623923826,-0.9206328667229209,-0.4588734028871759,2021,8,19,002475
1530,-1.0221489856107775,-1.0658201483898233,-1.0905113273471525,-1.0544666030915393,-0.8181399623634776,0.19224615486148186,2021,8,20,002475
1531,-0.8982893004917756,-0.9509158015176103,-0.9724695271469438,-0.9047877723037588,-0.9513174708058407,0.8370133266808844,2021,8,23,002475
1532,-0.9335043090060017,-0.8481066490529998,-0.9438533331590141,-0.8392259703884497,-1.2252645546801553,-0.25242086018638193,2021,8,24,002475
1533,-1.1132222834923968,-1.1202485232240296,-1.065472157607714,-1.0284892853515117,0.5911374725788682,-1.23386448625631,2021,8,25,002475
1534,-1.110793662215554,-1.0972676538495865,-1.1537054224038303,-1.0841549662230001,-0.8646413726747065,-0.0015016159808016718,2021,8,26,002475
1535,-1.0185060536955135,-1.0900105372050262,-1.0249325494581476,-1.0334373458734218,-0.39171886644826304,0.6305607839800904,2021,8,27,002475
1536,-1.292940257978793,-0.9799442680958538,-1.052356402029913,-1.282077387099405,2.003578268766876,-1.907217394757361,2021,8,30,002475
1537,-1.5188020367252089,-1.3512667364092144,-1.4303286309538157,-1.455259505366259,1.057100584064856,-1.6721791153749186,2021,8,31,002475
1538,-1.464158057996237,-1.5133423414710725,-1.5102155058367857,-1.48494786849772,-0.15161974790252977,0.40505108349153096,2021,9,1,002475
1539,-1.4714439218267668,-1.4262569417363422,-1.4458290693639444,-1.4342302481481408,-0.6020823892847745,-0.07137786120260883,2021,9,2,002475
1540,-1.4775154750188744,-1.4564949277553456,-1.5185618957499318,-1.4564965204967362,-1.126567683815506,-0.06502547527335363,2021,9,3,002475
1541,-1.3475842367077642,-1.4649615638406666,-1.4136358511275233,-1.405778900147158,-0.7203920998725271,0.9767658171244986,2021,9,6,002475
1542,-1.36701320692251,-1.3282858670347721,-1.4184052167921781,-1.3179508258832533,-0.8048538451316979,-0.16031126421218161,2021,9,7,002475
1543,-1.2443678324419294,-1.3282858670347721,-1.2490927356969284,-1.2511520088374668,0.5528608015063601,0.8973609930088087,2021,9,8,002475
1544,-1.339084062238813,-1.3198192309494512,-1.3850196571395936,-1.3055806745784777,-0.941511050944289,-0.703440261163501,2021,9,9,002475
1545,-1.2565109388261446,-1.3500572169684544,-1.3087098065051148,-1.3006326140565678,-0.03742240693413766,0.5924464684045592,2021,9,10,002475
1546,-1.3815849345835687,-1.247248064503843,-1.349249414654682,-1.2993955989260906,-0.5065488796657872,-0.9257737686874329,2021,9,13,002475
1547,-1.4629437473578157,-1.3669904891390965,-1.4267516067053243,-1.381038597537607,-0.8864685652697731,-0.624035437047811,2021,9,14,002475
1548,-1.5746603260926022,-1.452866369433066,-1.550755113986352,-1.4898959290196299,-0.17787564624152297,-0.8686022953241361,2021,9,15,002475
1549,-1.492087202679934,-1.5375327302862747,-1.5710249180611358,-1.4985550349329726,-0.6786357314297908,0.6305607839800904,2021,9,16,002475
1550,-1.5588742877931212,-1.502456666504231,-1.5853330150551002,-1.4886589138891526,-1.3005525523269068,-0.5287496481089831,2021,9,17,002475
1551,-1.635375858013682,-1.6101038967318828,-1.6413730616147961,-1.5542207158044619,-1.349268315510099,-0.6145068581539281,2021,9,22,002475
1552,-1.3220837133009113,-1.6101038967318828,-1.399327754133559,-1.529480413194911,1.4446123366584303,2.4727527034640975,2021,9,23,002475
1553,-1.3075119856398518,-1.3319144253570527,-1.2729395640202033,-1.2944475384041805,0.5313499450358595,0.09060797999339869,2021,9,24,002475
1554,-1.156937466475574,-1.2956288421342481,-1.1870909820564148,-1.232596781880304,0.5689939438592354,1.0879325708864647,2021,9,27,002475
1555,-1.2820114622329981,-1.1456484314799915,-1.2490927356969284,-1.2078564792707531,-0.7782816106681385,-0.9067166108996673,2021,9,28,002475
1556,-1.2941545686172142,-1.3440096197646534,-1.3337489762445534,-1.3327950074489834,-0.7627811405643955,-0.10631598381351244,2021,9,29,002475
1557,-1.2941545686172142,-1.2823241282858868,-1.3254025863314072,-1.2202266305755285,-1.3625544327418788,-0.017382580803939666,2021,9,30,002475
1558,-1.0549353728481607,-1.12629612042783,-1.1203198627512456,-1.0965251175277755,0.21026877860118373,1.7358759356704945,2021,10,8,002475
1559,-1.0682927898707983,-1.0537249539822218,-1.0165861595450016,-0.9851937557847981,-0.5698161045790239,-0.10949217677814002,2021,10,11,002475
1560,-1.2042955813740164,-1.0573535123045024,-1.147743715323012,-1.1422946773554439,-0.7874553582805578,-0.963888084262964,2021,10,12,002475
1561,-1.2395105898882433,-1.2206386368071203,-1.290824685262659,-1.2078564792707531,-1.1483948764105727,-0.27147801797414756,2021,10,13,002475
1562,-1.292940257978793,-1.1952387285511574,-1.2955940509273138,-1.1967233430964557,-1.5371719735024119,-0.4048781224885067,2021,10,14,002475
1563,-1.2370819686113996,-1.2714384533190461,-1.277708929684858,-1.2363078272717367,-1.0633004589022694,0.39234631163302053,2021,10,15,002475
1564,-1.405871147352001,-1.2375719089777621,-1.3397106833253725,-1.336506052840416,-0.8140275927441172,-1.2370406792209374,2021,10,18,002475
1565,-1.1387228068992503,-1.3766666446651772,-1.1489360567391755,-1.2907364930127478,0.2029930477361615,1.9899713728407027,2021,10,19,002475
1566,-1.1265797005150344,-1.0791248622381846,-1.1775522507271052,-1.0952881023972982,-1.1205572974487485,0.0683746292410055,2021,10,20,002475
